lon,lat,date
-98.4933333,29.4238889,3/17/2000
-122.2008333,47.9791667,3/18/2000
-70.8097222,42.0713889,3/18/2000
-116.3736111,33.7222222,3/18/2000
-115.1363889,36.175,3/18/2000
-106.6505556,35.0844444,3/19/2000
-110.9258333,32.2216667,3/19/2000
-122.4183333,37.775,3/19/2000
-76.8297222,39.4694444,3/19/2000
-118.1436111,34.1477778,3/19/2000
-84.9511111,34.5025,3/20/2000
-115.7622222,40.8325,3/20/2000
-75.365,41.1219444,3/20/2000
-87.3877778,36.0769444,3/21/2000
-85.7844444,42.2094444,3/21/2000
-92.1063889,46.7833333,3/21/2000
-81.2813889,28.2486111,3/21/2000
-80.4075,41.965,3/21/2000
-117.6883333,33.6469444,3/22/2000
-87.5691667,33.2097222,3/22/2000
-69.7911111,44.7130556,3/23/2000
-96.7,43.55,3/23/2000
-117.9244444,33.8702778,3/23/2000
-71.4133333,41.8238889,3/23/2000
-82.2972222,39.8069444,3/23/2000
-84.1547222,36.2177778,3/24/2000
-76.1477778,43.0480556,3/24/2000
-122.8025,45.4872222,3/24/2000
-85.0711111,42.9872222,3/24/2000
-78.0205556,33.9213889,3/24/2000
-83.9508333,43.4194444,3/24/2000
-73.4680556,40.8255556,3/24/2000
-93.6088889,41.6005556,3/25/2000
-95.4891667,30.1577778,3/25/2000
-95.3513889,39.6383333,3/25/2000
-120.4569444,34.6391667,3/25/2000
-79.9961111,40.4405556,3/26/2000
-122.2313889,40.6408333,3/27/2000
-83.7263889,42.2708333,3/27/2000
-122.0297222,36.9741667,3/27/2000
-85.4180556,29.9477778,3/27/2000
-123.7166667,39.1302778,3/27/2000
-112.315,34.61,3/28/2000
-120.7763889,42.9730556,3/28/2000
-80.1938889,25.7738889,3/28/2000
-77.4291667,38.8402778,3/28/2000
-114.005,33.9325,3/28/2000
-86.5786111,31.9844444,3/28/2000
-97.0644444,33.1538889,3/28/2000
-90.4611111,30.5041667,3/28/2000
-82.4944444,34.5227778,3/29/2000
-83.7611111,38.6555556,3/29/2000
-82.7691667,27.7688889,3/29/2000
-84.3880556,33.7488889,3/29/2000
-86.6477778,46.4111111,3/29/2000
-119.7427778,39.3772222,6/29/2100
-112.0733333,33.4483333,3/30/2000
-112.0733333,33.4483333,3/30/2000
-111.7883333,33.3527778,3/30/2000
-71.2097222,42.3369444,3/30/2000
-78.0161111,42.3066667,3/30/2000
-71.6422222,41.3830556,3/31/2000
-97.0913889,31.8022222,3/31/2000
-118.3997222,33.9597222,3/31/2000
-73.9183333,41.0905556,3/31/2000
-72.9497222,41.6716667,3/31/2000
-75.1641667,39.9522222,3/31/2000
-114.3216667,34.4838889,4/1/2000
-87.5558333,37.9747222,4/1/2000
-117.6711111,33.6,4/1/2000
-85.8591667,37.6938889,4/1/2000
-87.65,41.85,4/1/2000
-117.2644444,32.9594444,4/1/2000
-117.9983333,33.6602778,4/1/2000
-85.9225,44.4816667,4/1/2000
-106.3063889,35.8880556,4/1/2000
-86.1580556,39.7683333,4/2/2000
-92.4352778,41.2125,4/2/2000
-147.7163889,64.8377778,4/2/2000
-85.1288889,41.1305556,4/4/2000
-82.8002778,27.9655556,4/4/2000
-114.005,33.9325,4/4/2000
-90.3708333,38.7713889,4/5/2000
-75.0852778,38.3363889,4/5/2000
-117.2277778,33.7825,4/6/2000
-96.5380556,32.6394444,4/6/2000
-112.1852778,33.5386111,4/6/2000
-85.3097222,35.0455556,4/6/2000
-118.4480556,35.1322222,4/6/2000
-74.3405556,39.6030556,4/6/2000
-97.1077778,32.7355556,4/6/2000
-98.4933333,29.4238889,4/6/2000
-81.3461111,41.2391667,4/7/2000
-80.3975,27.6383333,4/8/2000
-122.3308333,47.6063889,4/8/2000
-122.3308333,47.6063889,4/8/2000
-117.1455556,33.7283333,4/9/2000
-117.3786111,33.1958333,4/9/2000
-119.6972222,34.4208333,4/9/2000
-93.055,34.5036111,4/9/2000
-118.0569444,34.1072222,4/9/2000
-89.6436111,39.8016667,4/9/2000
-119.7713889,36.7477778,4/10/2000
-85.6280556,41.0847222,4/10/2000
-69.0577778,44.0822222,4/10/2000
-111.4669444,33.8641667,7/23/2100
-119.4383333,48.7052778,4/11/2000
-94.1572222,36.0625,4/12/2000
-80.0366667,26.7052778,4/12/2000
-123.0855556,44.0522222,4/12/2000
-121.8047222,38.005,4/13/2000
-94.2238889,45.5572222,4/13/2000
-123.0855556,44.0522222,4/13/2000
-79.9961111,40.4405556,4/13/2000
-120.6586111,35.2827778,4/14/2000
-70.9388889,43.0369444,4/14/2000
-71.8191667,41.8491667,4/14/2000
-72.9286111,41.3080556,4/14/2000
-116.7855556,47.7661111,4/15/2000
-112.0733333,33.4483333,4/15/2000
-122.5788889,47.3294444,4/15/2000
-123.9805556,46.7066667,4/15/2000
-118.3397222,33.8358333,4/15/2000
-116.7583333,36.9086111,4/15/2000
-89.9497222,29.9327778,4/15/2000
-117.1563889,32.7152778,4/15/2000
-111.7602778,34.8697222,4/15/2000
-112.315,34.61,4/15/2000
-116.9730556,32.8383333,4/16/2000
-106.6505556,35.0844444,4/16/2000
-74.0063889,40.7141667,4/16/2000
-117.1563889,32.7152778,4/16/2000
-95.9375,41.2586111,4/16/2000
-123.1094444,45.52,4/17/2000
-118.2427778,34.0522222,4/17/2000
-121.8152778,47.8627778,4/17/2000
-105.9372222,35.6869444,4/17/2000
-121.8047222,38.005,4/17/2000
-123.2608333,44.5647222,4/17/2000
-122.4430556,47.2530556,4/18/2000
-112.0091667,34.7391667,4/18/2000
